year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЕЛИДІВВУГІЛЛЯ""",33426253,ДП,працює; перебуває у процедурі реорганізації,95.3,1.0,104.3,1.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.5,1.0,233.3,0.0,0.2,0.0,-0.7,0.0,-1.5,0.0,64.0,1.0,,0.0,4.0,неефективна
2019,3,"Державне підприємство ""Торецьквугілля""",33839013,ДП,працює; перебуває у процедурі реорганізації,,0.0,129.9,1.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.5,1.0,132.1,0.0,0.1,0.0,-0.8,0.0,-4.6,0.0,58.7,1.0,,0.0,4.0,неефективна
2019,3,Львівсько-Волинський воєнізований гірничорятувальний (аварійно-рятувальний) загін,33839804,ДП,працює,,2.0,108.7,1.0,164.6,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,478.8,5.0,99.2,1.0,31.7,1.0,0.2,0.0,74.6,0.0,,0.0,12.0,ефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТОУПРАВЛІННЯ ""ПІВДЕННОДОНБАСЬКЕ №1""",34032208,ДП,працює; перебуває у процедурі реорганізації,,2.0,125.6,1.0,189.5,1.0,113.0,1.0,0.0,0.0,0.0,0.0,102.8,1.0,-123.6,5.0,0.2,0.0,-0.5,0.0,-1.1,0.0,65.9,1.0,,0.0,12.0,ефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТА ІМ.Д.С.КОРОТЧЕНКА""",35527931,ДП,працює; перебуває у процедурі у ліквідації за рішенням органу влади,,0.0,113.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.4,0.0,0.0,0.0,-0.9,0.0,-13.2,0.0,27.5,1.0,,0.0,2.0,неефективна
2019,3,"ДЕРЖАВНИЙ КОНЦЕРН ""УКРТОРФ""",35633030,ДП,працює,,2.0,109.0,1.0,0.0,0.0,175.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,63.6,1.0,6.1,1.0,0.8,0.0,0.1,0.0,88.0,0.0,,0.0,7.0,неефективна
2019,3,"Державне підприємство ""Передпускова дирекція шахти №10 ""Нововолинська""",35671961,ДП,працює; перебуває у процедурі реорганізації,,0.0,112.1,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.1,0.0,0.5,0.0,-0.6,0.0,-1.2,0.0,74.1,0.0,,0.0,1.0,неефективна
2019,3,"Державний концерн ""Ядерне паливо""",36282830,ДП,працює,,2.0,118.7,1.0,0.0,0.0,126.7,1.0,240.0,1.0,0.0,0.0,0.0,0.0,361.9,5.0,1.3,1.0,52.1,1.0,1.0,1.0,48.5,1.0,,0.0,14.0,ефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ""ВУГЛЕІННОВАЦІЯ""",37770008,ДП,працює; перебуває у процедурі реорганізації,,0.0,51.2,0.0,185.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,3.0,0.8,0.0,-0.1,0.0,-0.2,0.0,95.4,0.0,,0.0,4.0,неефективна
2019,3,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ НАФТОПЕРЕРОБНОЇ ТА НАФТОХІМІЧНОЇ ПРОМИСЛОВОСТІ ""МАСМА""",38882770,ДП,працює,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.9,5.0,0.8,0.0,-0.1,0.0,-0.1,0.0,68.2,1.0,,0.0,6.0,неефективна
